AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
achilles tendon surgery,achilles tendon surgery,Injury or Poisoning,C0740739,,,
achondrogenesis,Achondrogenesis,Congenital Abnormality,C0001079,,,
achondroplasia,Achondroplasia,Congenital Abnormality,C0001080,,,
achromatopsia,Achromatopsia,Disease or Syndrome,C0152200,,,
tooth acid erosion,acid erosion of teeth,Finding,C2146654,,,
acid phosphatase,Acid Phosphatase,"Amino Acid, Peptide, or Protein|Enzyme",C0001109,,,
prostatic acid phosphatase,"Acid phosphatase isoenzyme, prostatic fraction","Amino Acid, Peptide, or Protein|Enzyme",C0312402,,,
acid rain,Acid Rain,Environmental Effect of Humans|Hazardous or Poisonous Substance,C0001111,,,
acid base balance,Acid-Base Equilibrium,Physiologic Function,C0001117,,,
acid-base balance,Acid-Base Equilibrium,Physiologic Function,C0001117,,,
acid base imbalance,Acid-Base Imbalance,Finding,C0001118,,,
acidobacteria bacterium mor1,Acidobacteria bacterium Mor1,Bacterium,C4191412,,,
acidosis,Acidosis,Pathologic Function,C0001122,,,
lactic acidosis,"Acidosis, Lactic",Disease or Syndrome,C0001125,,,
respiratory acidosis,"Acidosis, Respiratory",Disease or Syndrome,C0001127,,,
acidovorax sp,Acidovorax sp.,Bacterium,C4407140,,,
acid,Acids,Chemical,C0001128,,,
acids,Acids,Chemical,C0001128,,,
acinar,Acinar,Spatial Concept,C0332207,,,
acinetobacter,Acinetobacter,Bacterium,C0001138,,,
acinetobacter baumannii,Acinetobacter calcoaceticus,Bacterium,C0085467,,,
ard,acireductone dioxygenase [iron(II)-requiring] activity,Molecular Function,C1817569,,,
acitretin,Acitretin,Organic Chemical|Pharmacologic Substance,C0050559,,,
ccr10,ACKR2 gene,Gene or Genome,C1332673,,,
post acne scarring,Acne scar,Finding,C0423783,,,
acne scars,Acne scar,Finding,C0423783,,,
acne treatment,Acne Treatment,Organic Chemical|Pharmacologic Substance,C0718219,,,
acne,Acne Vulgaris,Disease or Syndrome,C0001144,,,
acne vulgaris,Acne Vulgaris,Disease or Syndrome,C0001144,,,
acne-clear,Acne-Clear,Organic Chemical|Pharmacologic Substance,C0718223,,,
monkshood,Aconitum,Plant,C0330240,,,
aconitum napellus,Aconitum napellus (plant),Plant,C0330244,,,
hte,ACOT8 gene,Gene or Genome,C1825832,,,
acoustic neurinoma,Acoustic Neuroma,Neoplastic Process,C0027859,,,
acoustic neuroma,Acoustic Neuroma,Neoplastic Process,C0027859,,,
vestibular schwannoma,Acoustic Neuroma,Neoplastic Process,C0027859,,,
acoustic,Acoustics,Natural Phenomenon or Process,C0001166,,,
acquired aplastic anemia,Acquired aplastic anemia,Disease or Syndrome,C0271907,,,
ovary atrophy,Acquired atrophy of ovary,Acquired Abnormality,C0404445,,,
bowlegged,Acquired genu varum,Acquired Abnormality,C0158485,,,
bowlegs,Acquired genu varum,Acquired Abnormality,C0158485,,,
primary hypothyroidism,Acquired hypothyroidism,Disease or Syndrome,C0700502,,,
aids,Acquired Immunodeficiency Syndrome,Disease or Syndrome,C0001175,,,
sida,Acquired Immunodeficiency Syndrome,Disease or Syndrome,C0001175,,,
adult pyloric stenosis,Acquired obstruction of pylorus,Acquired Abnormality,C0001173,,,
acquired syphilis,Acquired syphilis,Disease or Syndrome,C0343674,,,
acquisition,Acquisition (action),Activity,C1706701,,,
acquisitions,Acquisition (action),Activity,C1706701,,,
acr,ACR gene,Gene or Genome,C1412134,,,
acls,Acrocallosal Syndrome,Disease or Syndrome,C0796147,,,
carpenter syndrome,Acrocephalopolysyndactyly type 2,Disease or Syndrome,C1275078,,,
swift,Acrodynia,Injury or Poisoning,C0001198,,,
acromegalia,Acromegaly,Disease or Syndrome,C0001206,,,
acromegaly,Acromegaly,Disease or Syndrome,C0001206,,,
acromioclavicular joint,Acromioclavicular joint structure,Body Space or Junction,C0001208,,,
acromioclavicular dislocation,acromioclavicular; dislocation,Injury or Poisoning,C1386094,,,
acromioplasty,Acromioplasty of shoulder,Therapeutic or Preventive Procedure,C0186663,,,
acronym,Acronyms,Intellectual Product,C1956259,,,
acrylamide,Acrylamides,Organic Chemical,C0001218,,,
2-propenoic acid,acrylate,Organic Chemical|Biomedical or Dental Material,C0101303,,,
acrylic resin,Acrylic Resins,Biomedical or Dental Material,C0001222,,,
bg1,ACSBG1 gene,Gene or Genome,C1825836,,,
bgm,ACSBG1 gene,Gene or Genome,C1825836,,,
documentation,Act of Documentation,Health Care Activity,C0175636,,,
baneberry,Actaea,Plant,C0330247,,,
cimicifuga,Actaea,Plant,C0330247,,,
white baneberry,Actaea alba,Plant,C0330252,,,
actb,ACTB gene,Gene or Genome,C1384510,,,
actifed cold and allergy,Actifed Cold & Allergy,Organic Chemical|Pharmacologic Substance,C1878779,,,
actifed cold and sinus,Actifed Cold & Sinus,Organic Chemical|Pharmacologic Substance,C0718240,,,
actinic cheilitis,Actinic cheilitis,Disease or Syndrome,C0267026,,,
actinic keratosis,Actinic keratosis,Neoplastic Process,C0022602,,,
actinidia,Actinidia,Plant,C0949891,,,
ac,Actinium,"Element, Ion, or Isotope",C0001246,,,
actinoalloteichus spitiensis,Actinoalloteichus spitiensis,Bacterium,C1473174,,,
actinomycete,Actinobacteria class,Bacterium,C0600148,,,
actinomycetes,Actinobacteria class,Bacterium,C0600148,,,
actin,Actins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0001271,,,
action potential,Action Potentials,Cell Function,C0001272,,,
actisite,Actisite,Organic Chemical|Antibiotic,C0761924,,,
activated charcoal,Activated Charcoal,Organic Chemical|Pharmacologic Substance,C0001275,,,
activated charcoal and,Activated Charcoal,Organic Chemical|Pharmacologic Substance,C0001275,,,
activated carbon,Activated Charcoal,Organic Chemical|Pharmacologic Substance,C0001275,,,
activated clotting time,Activated clotting time measurement,Laboratory Procedure,C0427611,,,
aptt,Activated Partial Thromboplastin Time measurement,Laboratory Procedure,C0030605,,,
partial thromboplastin time,Activated Partial Thromboplastin Time measurement,Laboratory Procedure,C0030605,,,
ptt,Activated Partial Thromboplastin Time measurement,Laboratory Procedure,C0030605,,,
active,Active,Qualitative Concept,C0205177,,,
active listening,Active listening,Health Care Activity,C0150122,,,
building construction,Activities involving building and construction,Daily or Recreational Activity,C2712453,,,
activities of daily living,Activities of Daily Living (activity),Daily or Recreational Activity,C0001288,,,
activity daily living,Activities of Daily Living (activity),Daily or Recreational Activity,C0001288,,,
adl,Activities of Daily Living (activity),Daily or Recreational Activity,C0001288,,,
activity intolerance,Activity intolerance,Finding,C0231367,,,
pilates,Activity involving pilates,Daily or Recreational Activity,C2712430,,,
rhythmic gymnastics,"Activity, rhythmic gymnastics",Daily or Recreational Activity,C2712705,,,
actonel,Actonel,Organic Chemical|Pharmacologic Substance,C1996201,,,
actos,Actos,Organic Chemical|Pharmacologic Substance,C0875954,,,
actovegin,Actovegin,Organic Chemical|Pharmacologic Substance,C0050672,,,
tissue integrity,Actual Effective Body Tissue Integrity,Finding,C2712125,,,
positive body image,Actual Positive Body Image,Finding,C2712123,,,
acupressure,Acupressure,Therapeutic or Preventive Procedure,C0282614,,,
tcm,Acupuncture and Oriental Medicine,Therapeutic or Preventive Procedure,C1515884,,,
acupuncture anesthesia,Acupuncture Anesthesia,Therapeutic or Preventive Procedure,C0001301,,,
acupuncture therapy,Acupuncture procedure,Therapeutic or Preventive Procedure,C0394664,,,
acupuncture treatment,Acupuncture procedure,Therapeutic or Preventive Procedure,C0394664,,,
acupuncture treatments,Acupuncture procedure,Therapeutic or Preventive Procedure,C0394664,,,
acupuncture,Acupuncture therapy discipline,Biomedical Occupation or Discipline,C0001299,,,
tae,Acupuncture-like transcutaneous electrical nerve stimulation,Therapeutic or Preventive Procedure,C0394677,,,
auricular acupuncture,"Acupuncture, Ear",Therapeutic or Preventive Procedure,C0752217,,,
acute,acute,Temporal Concept,C0205178,,,
acute abdominal pain,Acute abdominal pain,Sign or Symptom,C0740577,,,
acute bronchitis,Acute bronchitis,Disease or Syndrome,C0149514,,,
acute stroke,Acute Cerebrovascular Accidents,Disease or Syndrome,C0751956,,,
acute chest syndrome,Acute Chest Syndrome,Disease or Syndrome,C0742343,,,
acute cholecystitis,Acute Cholecystitis,Disease or Syndrome,C0149520,,,
acute acalculous cholecystitis,Acute cholecystitis without calculus,Disease or Syndrome,C0267842,,,
acute confusion,Acute confusional state,Finding,C1285577,,,
acute coronary syndrome,Acute Coronary Syndrome,Disease or Syndrome,C0948089,,,
acute cystitis,Acute cystitis,Disease or Syndrome,C0149523,,,
acute inflammation,Acute inflammation,Finding,C0333361,,,
acute intermittent porphyria,Acute intermittent porphyria,Disease or Syndrome,C0162565,,,
aip,Acute intermittent porphyria,Disease or Syndrome,C0162565,,,
acute interstitial nephritis,Acute interstitial nephritis,Disease or Syndrome,C0149937,,,
acute renal injury,Acute kidney injury,Injury or Poisoning,C2609414,,,
insufficiency kidney acute,Acute Kidney Insufficiency,Disease or Syndrome,C1565662,,,
acute tubular necrosis,Acute Kidney Tubular Necrosis,Disease or Syndrome,C0022672,,,
acute leukemia,Acute leukemia,Neoplastic Process,C0085669,,,
ali,Acute Lung Injury,Injury or Poisoning,C0242488,,,
acute lymphoblastic leukaemia,Acute lymphocytic leukemia,Neoplastic Process,C0023449,,,
acute lymphoblastic leukemia,Acute lymphocytic leukemia,Neoplastic Process,C0023449,,,
acute lymphocytic leukemia,Acute lymphocytic leukemia,Neoplastic Process,C0023449,,,
all,Acute lymphocytic leukemia,Neoplastic Process,C0023449,,,
acute mastitis,Acute mastitis,Disease or Syndrome,C0149613,,,
acute mi,Acute myocardial infarction,Disease or Syndrome,C0155626,,,
acute myocardial infarction,Acute myocardial infarction,Disease or Syndrome,C0155626,,,
acute cough,Acute onset cough,Sign or Symptom,C0742857,,,
acute pain,Acute onset pain,Sign or Symptom,C0184567,,,
acute otitis media,Acute otitis media,Disease or Syndrome,C0271429,,,
acute pancreatitis,Acute pancreatitis,Disease or Syndrome,C0001339,,,
acute pelvic pain,Acute pelvic pain,Sign or Symptom,C1282322,,,
perforated appendicitis,Acute perforated appendicitis,Disease or Syndrome,C0564755,,,
aggressive periodontitis,Acute periodontitis,Disease or Syndrome,C0001342,,,
apache,Acute Physiology and Chronic Health Evaluation,Intellectual Product,C0243030,,,
apmppe,Acute posterior multifocal placoid pigment epitheliopathy,Disease or Syndrome,C0154884,,,
apl,Acute Promyelocytic Leukemia,Neoplastic Process,C0023487,,,
acute pulmonary oedema,Acute pulmonary edema,Disease or Syndrome,C0155919,,,
acute pulmonary embolism,Acute pulmonary embolism,Disease or Syndrome,C2882221,,,
purulent pericarditis,Acute purulent pericarditis,Disease or Syndrome,C0265149,,,
acute radiation syndrome,Acute Radiation Syndrome,Injury or Poisoning,C0520799,,,
acute respiratory acidosis,Acute respiratory acidosis,Disease or Syndrome,C0268047,,,
acute respiratory infection,Acute respiratory infections,Disease or Syndrome,C0339901,,,
acute urinary retention,Acute retention of urine,Sign or Symptom,C0341742,,,
acute sinusitis,Acute sinusitis,Disease or Syndrome,C0149512,,,
acute spinal cord injuries,acute spinal cord injury,Injury or Poisoning,C0878589,,,
hepatitis b acute,Acute type B viral hepatitis,Disease or Syndrome,C0276609,,,
leukemia stem cell,Acute Undifferentiated Leukemia,Neoplastic Process,C0280141,,,
acute upper gi bleeding,Acute upper gastrointestinal hemorrhage,Pathologic Function,C0266809,,,
azoor,Acute zonal occult outer retinopathy,Disease or Syndrome,C0730298,,,
alk - 1,"ACVRL1 protein, human","Amino Acid, Peptide, or Protein|Enzyme",C1504731,,,
aciclovir,Acyclovir,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",C0001367,,,
acv,Acyclovir,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",C0001367,,,
acyclovir,Acyclovir,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",C0001367,,,
acyclovir dose,acyclovir dose,Quantitative Concept,C0366333,,,
acyclovir oral,Acyclovir Oral Product,Clinical Drug,C0360384,,,
acp,Acyl Carrier Protein,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0001369,,,
acylation,Acylation,Natural Phenomenon or Process,C0001383,,,
acylpyrin,Acylpyrin,Organic Chemical|Pharmacologic Substance,C0699272,,,
adacel,Adacel,Organic Chemical|Immunologic Factor|Pharmacologic Substance,C1640737,,,
adal,ADAL gene,Gene or Genome,C1826406,,,
adalimumab,adalimumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C1122087,,,
adalimumab injection,adalimumab Injection,Clinical Drug,C4019255,,,
adam,Adams,Health Care Related Organization,C0331762,,,
adamts13,ADAMTS13 gene,Gene or Genome,C1413036,,,
npi,ADAMTS2 gene,Gene or Genome,C1412208,,,
baobab,Adansonia digitata,Plant,C1027256,,,
adapalene,adapalene,Organic Chemical|Pharmacologic Substance,C0165631,,,
adapalenum,adapalene,Organic Chemical|Pharmacologic Substance,C0165631,,,
adapin,Adapin,Organic Chemical|Pharmacologic Substance,C0728756,,,
adaptive immunity,Adaptive Immunity,Physiologic Function,C0678209,,,
adar1,ADAR gene,Gene or Genome,C1412215,,,
adarb1,ADARB1 gene,Gene or Genome,C1412216,,,
adderall,Adderall,Organic Chemical|Pharmacologic Substance,C0290795,,,
adderall xr,Adderall-XR,Organic Chemical|Pharmacologic Substance,C1170024,,,
addiction therapy,addiction therapy,Therapeutic or Preventive Procedure,C3695291,,,
addiction,Addictive Behavior,Mental or Behavioral Dysfunction,C0085281,,,
addictions,Addictive Behavior,Mental or Behavioral Dysfunction,C0085281,,,
addictive behaviors,Addictive Behavior,Mental or Behavioral Dysfunction,C0085281,,,
addison disease,Addison Disease,Disease or Syndrome,C0001403,,,
addisons disease,Addison Disease,Disease or Syndrome,C0001403,,,
additives,Additive,Qualitative Concept,C0442796,,,
address,Addresses (publication format),Intellectual Product,C0376649,,,
adductor muscle,"Adductor muscle of hip, unspecified","Body Part, Organ, or Organ Component",C0224435,,,
addyi,Addyi,Organic Chemical|Pharmacologic Substance,C4051421,,,
aden,Aden,Geographic Area,C0001406,,,
aprt,Adenine Phosphoribosyltransferase,"Amino Acid, Peptide, or Protein|Enzyme",C0001414,,,
manec,Adenocarcinoid tumor,Neoplastic Process,C0334302,,,
adenocarcinoma,Adenocarcinoma,Neoplastic Process,C0001418,,,
esophageal adenocarcinoma,Adenocarcinoma Of Esophagus,Neoplastic Process,C0279628,,,
lung cancer adenocarcinoma,Adenocarcinoma of lung (disorder),Neoplastic Process,C0152013,,,
lung adenocarcinoma,Adenocarcinoma of lung (disorder),Neoplastic Process,C0152013,,,
adenocarcinoma lung,Adenocarcinoma of lung (disorder),Neoplastic Process,C0152013,,,
pancreatic adenocarcinoma,Adenocarcinoma of pancreas,Neoplastic Process,C0281361,,,
adenocarcinoma pancreas,Adenocarcinoma of pancreas,Neoplastic Process,C0281361,,,
prostate adenocarcinoma,Adenocarcinoma of prostate,Neoplastic Process,C0007112,,,
prostatic adenocarcinoma,Adenocarcinoma of prostate,Neoplastic Process,C0007112,,,
rectal adenocarcinoma,Adenocarcinoma of rectum,Neoplastic Process,C0149978,,,
adenocarcinoma cardias,Adenocarcinoma of the cardia,Neoplastic Process,C0861471,,,
clear cell carcinoma,"Adenocarcinoma, Clear Cell",Neoplastic Process,C0206681,,,
scirrhous adenocarcinoma,"Adenocarcinoma, Scirrhous",Neoplastic Process,C0007135,,,
tubular carcinoma,"Adenocarcinoma, Tubular",Neoplastic Process,C0205645,,,
adenoids,Adenoidal structure,"Body Part, Organ, or Organ Component",C0001428,,,
warthin tumor,Adenolymphoma,Neoplastic Process,C0001429,,,
adenoma,Adenoma,Neoplastic Process,C0001430,,,
adenomatous hyperplasia,Adenomatous hyperplasia,Pathologic Function,C0334000,,,
familial adenomatous polyposis,Adenomatous Polyposis Coli,Neoplastic Process,C0032580,,,
fap,Adenomatous Polyposis Coli,Neoplastic Process,C0032580,,,
adenomyoma,Adenomyoma,Neoplastic Process,C0206622,,,
adenosine,Adenosine,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance|Pharmacologic Substance",C0001443,,,
ada,ADENOSINE DEAMINASE,"Amino Acid, Peptide, or Protein|Enzyme",C0001457,,,
amps,Adenosine Monophosphate,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance|Pharmacologic Substance",C0001465,,,
amp,Adenosine Monophosphate,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance|Pharmacologic Substance",C0001465,,,
aps,Adenosine Phosphosulfate,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance",C0001468,,,
atpase,Adenosine Triphosphatases,"Amino Acid, Peptide, or Protein|Enzyme",C0001473,,,
atp,Adenosine Triphosphate,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance|Pharmacologic Substance",C0001480,,,
microglandular adenosis,Adenosis of Breast,Neoplastic Process,C0085750,,,
adenovirus infections,Adenovirus Infections,Disease or Syndrome,C0001486,,,
adenovirus,Adenoviruses,Virus,C0001483,,,
gpr56,ADGRG1 gene,Gene or Genome,C1415246,,,
adh1b,ADH1B gene,Gene or Genome,C1412236,,,
adherence,Adherence (attribute),Functional Concept,C1510802,,,
medication adherence,Adherence To Medication Regime,Finding,C2364172,,,
intrauterine adhesion,Adhesions of uterus,Pathologic Function,C0241593,,,
adhesive capsulitis,Adhesive Capsulitis,Disease or Syndrome,C0158300,,,
adhesives capsulitis,Adhesive Capsulitis,Disease or Syndrome,C0158300,,,
resin adhesive,Adhesive Resins,Medical Device,C3504011,,,
medical adhesive,"ADHESIVE,MEDICAL",Medical Device,C0726995,,,
adhesive,Adhesives,Manufactured Object,C0001516,,,
adi peg20,ADI PEG20,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",C1328192,,,
adipocytes apoptosis,adipocyte apoptosis,Cell Function,C4233502,,,
adipocytes,Adipocytes,Cell,C0206131,,,
adipocyte,Adipocytes,Cell,C0206131,,,
adiponectin,Adiponectin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0389071,,,
adipose tissue,Adipose tissue,Tissue,C0001527,,,
adipositas,adiposity,Organism Attribute,C1563743,,,
adjacency,adjacency,Spatial Concept,C3242705,,,
adjacent,Adjacent,Spatial Concept,C0205117,,,
next,Adjacent,Spatial Concept,C0205117,,,
adjusted body weight,adjusted for body weight,Quantitative Concept,C3484244,,,
adjustment disorder,Adjustment Disorders,Mental or Behavioral Dysfunction,C0001546,,,
adjustment disorders,Adjustment Disorders,Mental or Behavioral Dysfunction,C0001546,,,
adjuvant therapy,Adjuvant therapy,Therapeutic or Preventive Procedure,C0677850,,,
method of administration,Administration Method,Functional Concept,C1547585,,,
